659	-1	397	-1	-1	0
***
252	798	659	1	659	0.434556
***
497	-1	659	-1	-1	0
***
631	488	497	1	497	0.78168
***
684	107	497	1	497	0.655034
***
50	988	497	1	497	0.675943
***
113	836	497	1	497	0.779278
***
952	972	497	1	497	0.565548
***
986	956	497	1	497	0.464552
***
508	232	497	1	497	0.801994
***
662	202	497	1	497	0.429916
***
666	549	497	1	497	0.41528
***
799	-1	497	-1	-1	0
***
332	812	799	1	799	0.309879
***
763	22	799	1	799	0.197987
***
768	126	799	1	799	0.901138
***
666	98	799	1	799	0.804179
***
624	531	799	1	799	0.721452
***
748	700	799	1	799	0.224273
***
200	60	799	1	799	0.334394
***
800	420	799	1	799	0.519648
***
527	862	799	1	799	0.151978
***
401	70	799	1	799	0.298793
***
210	971	799	1	799	0.946495
***
14	866	799	1	799	0.401846
***
259	440	799	1	799	0.45277
***
627	-1	799	-1	-1	0
***
242	546	627	1	627	0.709603
***
780	-1	627	-1	-1	0
***
552	134	780	1	780	0.595175
***
608	187	780	1	780	0.125143
***
781	931	780	1	780	0.701749
***
507	107	780	1	780	0.757892
***
406	-1	780	-1	-1	0
***
890	245	406	1	406	0.00250193
***
228	412	406	1	406	0.350946
***
469	-1	406	-1	-1	0
***
570	39	469	1	469	0.365446
***
757	-1	469	-1	-1	0
***
989	-1	757	-1	-1	0
***
73	867	989	1	989	0.346672
***
802	766	989	1	989	0.569111
***
899	738	989	1	989	0.8311
***
247	86	989	1	989	0.616366
***
232	161	989	1	989	0.212776
***
833	236	989	1	989	0.120952
***
519	-1	989	-1	-1	0
***
771	-1	519	-1	-1	0
***
520	984	771	1	771	0.394305
***
266	175	771	1	771	0.853753
***
884	731	771	1	771	0.356011
***
59	448	771	1	771	0.145556
***
715	130	771	1	771	0.935778
***
197	175	771	1	771	0.40173
***
921	124	771	1	771	0.313982
***
385	-1	771	-1	-1	0
***
845	618	385	1	385	0.43649
***
538	769	385	1	385	0.0592066
***
325	848	385	1	385	0.276876
***
497	773	385	1	385	0.364403
***
706	659	385	1	385	0.0764925
***
101	-1	385	-1	-1	0
***
275	227	101	1	101	0.58261
***
762	-1	101	-1	-1	0
***
255	-1	762	-1	-1	0
***
941	689	255	1	255	0.692359
***
676	-1	255	-1	-1	0
***
966	263	676	1	676	0.892519
***
706	-1	676	-1	-1	0
***
890	-1	706	-1	-1	0
***
479	698	890	1	890	0.434118
***
528	1012	890	1	890	0.238512
***
825	984	890	1	890	0.638101
***
70	950	890	1	890	0.301889
***
291	21	890	1	890	0.638157
***
39	672	890	1	890	0.278366
***
629	185	890	1	890	0.0298564
***
745	603	890	1	890	0.394691
***
798	534	890	1	890	0.198059
***
696	813	890	1	890	0.341819
***
278	42	890	1	890	0.292024
***
825	320	890	1	890	0.811835
***
600	823	890	1	890	0.000352522
***
132	532	890	1	890	0.432848
***
